"x","y","t","zt","zt1"
352500,3860500,1996,0.029,0
357500,3860500,1996,0.141,0
362500,3860500,1996,0.035,0
352500,3865500,1996,0.103,0
357500,3865500,1996,0.071,0
352500,3870500,1996,0.022,0
337500,3875500,1996,0.166,0
372500,3875500,1996,0.072,0
372500,3880500,1996,0.084,0
377500,3880500,1996,0.947,0
377500,3885500,1996,0.059,0
362500,3890500,1996,0.02,0
367500,3890500,1996,0.016,0
362500,3895500,1996,0.032,0
367500,3895500,1996,0.018,0
337500,3900500,1996,0.01,0
342500,3900500,1996,0.067,0
347500,3900500,1996,0.025,0
342500,3905500,1996,0.012,0
362500,3905500,1996,0.181,0.495
342500,3910500,1996,0.115,0
347500,3910500,1996,1.738,4.198
377500,3910500,1996,0.109,0.015
352500,3915500,1996,0.012,0
357500,3915500,1996,0.012,0
337500,3920500,1996,0.032,0
352500,3920500,1996,0.02,0
337500,3925500,1996,0.063,0
342500,3925500,1996,0.201,0
337500,3930500,1996,0.051,0
342500,3930500,1996,0.015,0
357500,3930500,1996,0.045,0
362500,3930500,1996,0.018,0
357500,3935500,1996,0.048,0
362500,3935500,1996,0.444,0
367500,3935500,1996,0.046,0
372500,3935500,1996,0.108,0.724
377500,3935500,1996,0.055,0
342500,3940500,1996,0.043,0
347500,3940500,1996,0.035,0
362500,3940500,1996,0.1,0.056
367500,3940500,1996,0.628,0.038
372500,3940500,1996,0.524,0.04
377500,3940500,1996,0.073,0
312500,3945500,1996,0.032,0
317500,3945500,1996,0.039,0
342500,3945500,1996,0.019,0
347500,3945500,1996,0.02,0
362500,3945500,1996,0.206,0.177
367500,3945500,1996,1.046,0.045
372500,3945500,1996,2.435,0.805
377500,3945500,1996,0.107,0.026
307500,3950500,1996,0.066,0
312500,3950500,1996,0.11,0
317500,3950500,1996,0.108,0
322500,3950500,1996,0.042,0
362500,3950500,1996,0.063,0
367500,3950500,1996,0.296,0
372500,3950500,1996,0.427,0.114
377500,3950500,1996,0.64,0.028
302500,3955500,1996,0.031,0
307500,3955500,1996,0.138,0
312500,3955500,1996,0.282,0
317500,3955500,1996,0.326,0
322500,3955500,1996,0.052,0
367500,3955500,1996,0.018,0
377500,3955500,1996,0.137,0
