"x","y","t","zt","zt1"
-332500,4467500,1996,0.615,1.931
-327500,4467500,1996,0.383,1.674
-322500,4467500,1996,0.662,1.209
-317500,4467500,1996,0.295,0.854
-312500,4467500,1996,0.319,1.677
-307500,4467500,1996,0.359,1.795
-302500,4467500,1996,0.188,2.113
-297500,4467500,1996,0.256,1.686
-292500,4467500,1996,0.28,2.636
-287500,4467500,1996,0.597,2.77
-282500,4467500,1996,0.38,3.025
-277500,4467500,1996,0.601,2.002
-272500,4467500,1996,0.747,1.851
-267500,4467500,1996,1.043,1.851
-262500,4467500,1996,1.648,1.426
-257500,4467500,1996,1.128,1.419
-252500,4467500,1996,0.97,0.672
-247500,4467500,1996,1.824,1.49
-242500,4467500,1996,1.666,2.033
-237500,4467500,1996,2.262,3.812
-232500,4467500,1996,3.558,4.49
-227500,4467500,1996,4.247,3.392
-222500,4467500,1996,4.167,3.23
-337500,4472500,1996,0.628,1.602
-332500,4472500,1996,0.425,2.415
-327500,4472500,1996,0.668,1.863
-322500,4472500,1996,0.166,1.078
-317500,4472500,1996,0.392,1.065
-312500,4472500,1996,0.342,0.497
-307500,4472500,1996,0.129,1.29
-302500,4472500,1996,0.219,1.574
-297500,4472500,1996,0.105,2.467
-292500,4472500,1996,0.669,2.252
-287500,4472500,1996,0.146,3.904
-282500,4472500,1996,0.518,1.619
-277500,4472500,1996,0.44,1.407
-272500,4472500,1996,0.389,3.457
-267500,4472500,1996,1.27,1.571
-262500,4472500,1996,0.816,2.638
-257500,4472500,1996,1.445,1.085
-252500,4472500,1996,1.439,0
-247500,4472500,1996,1.576,2.372
-242500,4472500,1996,2.871,5.834
-237500,4472500,1996,1.349,5.456
-232500,4472500,1996,4.558,8.501
-227500,4472500,1996,3.88,1.973
-222500,4472500,1996,3.339,2.633
-337500,4477500,1996,0.508,1.729
-332500,4477500,1996,0.187,1.595
-327500,4477500,1996,0.246,2.855
-322500,4477500,1996,0.038,1.509
-317500,4477500,1996,0.249,1.464
-312500,4477500,1996,0.079,0.629
-307500,4477500,1996,0.124,1.304
-302500,4477500,1996,0.419,2.349
-297500,4477500,1996,0.298,2.914
-292500,4477500,1996,0.647,6.304
-287500,4477500,1996,0.323,3.833
-282500,4477500,1996,0.109,2.612
-277500,4477500,1996,0.497,3.866
-272500,4477500,1996,0.485,5.783
-267500,4477500,1996,0.596,2.835
-262500,4477500,1996,0.944,2.162
-257500,4477500,1996,1.867,5.005
-252500,4477500,1996,0.896,2.663
-247500,4477500,1996,2.406,2.816
-242500,4477500,1996,1.834,3.343
