"x","y","t","zt","zt1"
562500,3592500,1996,0.016,0
557500,3597500,1996,0.032,0
562500,3597500,1996,0.257,0
567500,3597500,1996,0.087,0
647500,3597500,1996,0.02,0
562500,3602500,1996,0.063,0
567500,3602500,1996,0.036,0
642500,3602500,1996,0.027,0
647500,3602500,1996,0.167,0
652500,3602500,1996,0.05,0
642500,3607500,1996,0.02,0
647500,3607500,1996,0.112,0
652500,3607500,1996,0.049,0
717500,3617500,1996,0.213,0
722500,3617500,1996,0.524,0.308
727500,3617500,1996,0.742,0.788
687500,3622500,1996,0.016,0
697500,3622500,1996,0.028,0
702500,3622500,1996,0.029,0
717500,3622500,1996,0.06,0.093
722500,3622500,1996,0.489,0.156
727500,3622500,1996,0.42,0.389
732500,3622500,1996,0.304,0.247
737500,3622500,1996,0.162,0
742500,3622500,1996,0.202,0
747500,3622500,1996,0.218,0
157500,3627500,1996,0.111,0.195
162500,3627500,1996,0.117,0.067
167500,3627500,1996,0.904,0.199
172500,3627500,1996,0.521,0.458
177500,3627500,1996,0.628,0.159
682500,3627500,1996,0.02,0.015
687500,3627500,1996,0.13,0.034
692500,3627500,1996,0.027,0.04
697500,3627500,1996,0.112,0
702500,3627500,1996,0.185,0
707500,3627500,1996,0.052,0
722500,3627500,1996,0.135,0.069
727500,3627500,1996,0.557,0.556
732500,3627500,1996,0.099,0.147
737500,3627500,1996,0.149,0
742500,3627500,1996,0.179,0
747500,3627500,1996,0.069,0
152500,3632500,1996,0.047,0.027
157500,3632500,1996,0.111,0.058
162500,3632500,1996,0.381,0.342
167500,3632500,1996,0.518,0.208
172500,3632500,1996,0.565,0.085
177500,3632500,1996,0.23,0.249
682500,3632500,1996,0.017,0.02
687500,3632500,1996,0.04,0.304
692500,3632500,1996,0.037,0.034
697500,3632500,1996,0.079,0.017
702500,3632500,1996,0.117,0
707500,3632500,1996,0.041,0
732500,3632500,1996,0.154,0
737500,3632500,1996,0.063,0
742500,3632500,1996,0.07,0
747500,3632500,1996,0.016,0
767500,3632500,1996,0.042,0
772500,3632500,1996,0.079,0
777500,3632500,1996,0.186,0
782500,3632500,1996,0.504,0
152500,3637500,1996,0.035,0
157500,3637500,1996,0.106,0.081
162500,3637500,1996,0.14,7.47
167500,3637500,1996,1.651,0.695
172500,3637500,1996,0.893,0.595
177500,3637500,1996,0.12,0.12
487500,3637500,1996,0.032,0
492500,3637500,1996,0.03,0
662500,3637500,1996,0.043,0
667500,3637500,1996,0.037,0
737500,3637500,1996,0.024,0
767500,3637500,1996,0.039,0
772500,3637500,1996,0.142,0
777500,3637500,1996,0.283,0
782500,3637500,1996,0.342,0
157500,3642500,1996,0.062,0.075
162500,3642500,1996,0.583,1.391
167500,3642500,1996,0.294,8.076
172500,3642500,1996,0.144,0.416
182500,3642500,1996,0.042,0
197500,3642500,1996,0.14,0
202500,3642500,1996,0.095,0
207500,3642500,1996,0.195,0
367500,3642500,1996,0.096,0
372500,3642500,1996,0.088,0
377500,3642500,1996,0.033,0
392500,3642500,1996,0.032,0
397500,3642500,1996,0.029,0
472500,3642500,1996,0.079,0.075
477500,3642500,1996,0.071,0.018
487500,3642500,1996,0.093,0
492500,3642500,1996,0.109,0
497500,3642500,1996,0.013,0
517500,3642500,1996,0.019,0
522500,3642500,1996,0.019,0
552500,3642500,1996,0.015,0.151
557500,3642500,1996,0.054,0.038
657500,3642500,1996,0.021,0
662500,3642500,1996,0.188,0
667500,3642500,1996,0.1,0
767500,3642500,1996,0.022,0
772500,3642500,1996,0.042,0
777500,3642500,1996,0.099,0
782500,3642500,1996,0.193,0
157500,3647500,1996,0.02,0.106
162500,3647500,1996,0.077,0.283
167500,3647500,1996,0.046,0.728
172500,3647500,1996,0.016,0.08
177500,3647500,1996,0.162,0
182500,3647500,1996,0.271,0
187500,3647500,1996,0.034,0
197500,3647500,1996,0.091,0
202500,3647500,1996,0.6,0
207500,3647500,1996,0.387,0
212500,3647500,1996,0.096,0
362500,3647500,1996,0.028,0
367500,3647500,1996,0.088,0
372500,3647500,1996,0.285,0
377500,3647500,1996,0.04,0
387500,3647500,1996,0.024,0
392500,3647500,1996,0.122,0
397500,3647500,1996,0.182,0
472500,3647500,1996,0.049,0.069
477500,3647500,1996,0.034,0.019
487500,3647500,1996,0.014,0
492500,3647500,1996,0.01,0
517500,3647500,1996,0.104,0
522500,3647500,1996,0.151,0
527500,3647500,1996,0.016,0
552500,3647500,1996,0.043,0.111
557500,3647500,1996,0.474,0.277
562500,3647500,1996,0.03,0.02
662500,3647500,1996,0.046,0
667500,3647500,1996,0.072,0
732500,3647500,1996,0.056,0
737500,3647500,1996,0.031,0.068
777500,3647500,1996,0.027,0
782500,3647500,1996,0.128,0
787500,3647500,1996,0.137,0
792500,3647500,1996,0.495,0
177500,3652500,1996,0.231,0
182500,3652500,1996,0.368,0
187500,3652500,1996,0.048,0
192500,3652500,1996,0.027,0
197500,3652500,1996,0.095,0
202500,3652500,1996,0.239,0
207500,3652500,1996,0.153,0
217500,3652500,1996,0.039,0
222500,3652500,1996,0.04,0
367500,3652500,1996,0.016,0
372500,3652500,1996,0.044,0
377500,3652500,1996,0.093,0
382500,3652500,1996,0.109,0
392500,3652500,1996,0.033,0
397500,3652500,1996,0.038,0
517500,3652500,1996,0.099,0
522500,3652500,1996,0.136,0
527500,3652500,1996,0.079,0
552500,3652500,1996,0.025,0.014
557500,3652500,1996,0.033,0.017
662500,3652500,1996,0.055,0
667500,3652500,1996,0.153,0
672500,3652500,1996,0.027,0
727500,3652500,1996,0.119,0
732500,3652500,1996,0.188,0.067
737500,3652500,1996,0.173,0.134
772500,3652500,1996,0.026,0
777500,3652500,1996,0.067,0
782500,3652500,1996,0.142,0
787500,3652500,1996,0.298,0
792500,3652500,1996,0.172,0
177500,3657500,1996,0.091,0
182500,3657500,1996,0.06,0
187500,3657500,1996,0.095,0
192500,3657500,1996,0.348,0
197500,3657500,1996,0.039,0
212500,3657500,1996,0.093,0
217500,3657500,1996,0.325,0
222500,3657500,1996,0.05,0
377500,3657500,1996,0.056,0
382500,3657500,1996,0.076,0
517500,3657500,1996,0.094,0
522500,3657500,1996,0.178,0
542500,3657500,1996,0.036,0
547500,3657500,1996,0.086,0
552500,3657500,1996,0.095,0
662500,3657500,1996,0.026,0
667500,3657500,1996,0.113,0
672500,3657500,1996,0.022,0
727500,3657500,1996,0.116,0
732500,3657500,1996,0.099,0
737500,3657500,1996,0.323,0.125
742500,3657500,1996,0.01,0.222
772500,3657500,1996,0.03,0
777500,3657500,1996,0.219,0
782500,3657500,1996,0.339,0
787500,3657500,1996,0.101,0
792500,3657500,1996,0.114,0
177500,3662500,1996,0.016,0
182500,3662500,1996,0.06,0
187500,3662500,1996,0.121,0
192500,3662500,1996,0.125,0
197500,3662500,1996,0.035,0
212500,3662500,1996,0.1,0
217500,3662500,1996,0.176,0
222500,3662500,1996,0.045,0
542500,3662500,1996,0.045,0
547500,3662500,1996,0.126,0
552500,3662500,1996,0.047,0
732500,3662500,1996,0.01,0
737500,3662500,1996,0.03,0
772500,3662500,1996,0.112,0
777500,3662500,1996,0.142,0
782500,3662500,1996,0.181,0
787500,3662500,1996,0.172,0
792500,3662500,1996,0.082,0
177500,3667500,1996,0.024,0
182500,3667500,1996,0.083,0
187500,3667500,1996,0.041,0
192500,3667500,1996,0.017,0
567500,3667500,1996,0.008,0
572500,3667500,1996,0.01,0
